id,filename,income,family_size,address,assets,liabilities,employment_status,validation_status,assessment_status,risk_level,eligibility_score,age,gender,nationality,created_at
1,application_0001.pdf,67450.71229516849,1,"Building 36, Street 29, Area 16, Sharjah, UAE",193026.11128651534,82911.99335283953,Unemployed,✅ Valid,✅ Approved,high,0.602979721943807,61,Male,USA,2025-02-04 14:59:40.021732
2,application_0002.pdf,45230.29856408025,5,"Building 167, Street 92, Area 13, Umm Al Quwain, UAE",125100.0686437173,31671.910715840477,Unemployed,✅ Valid,✅ Approved,high,0.8809430456677827,44,Male,Syria,2025-05-23 14:59:40.021755
3,application_0003.pdf,83688.19223261088,2,"Building 40, Street 36, Area 22, Ajman, UAE",315289.80183716293,64982.84332933792,Employed,✅ Valid,❌ Rejected,medium,0.4096716376833464,66,Female,India,2024-12-01 14:59:40.021781
4,application_0004.pdf,68138.40065378947,5,"Building 32, Street 69, Area 30, Ras Al Khaimah, UAE",172838.66153845814,35752.37701239361,Contract,✅ Valid,✅ Approved,high,0.6128639799494444,42,Male,UK,2024-11-22 14:59:40.021804
5,application_0005.pdf,63629.43407349051,4,"Building 198, Street 30, Area 43, Abu Dhabi, UAE",69147.36302890639,0.0,Employed,✅ Valid,❌ Rejected,low,0.4953410302368435,23,Male,India,2024-11-21 14:59:40.021820
6,application_0006.pdf,24377.124707590272,4,"Building 175, Street 90, Area 18, Ras Al Khaimah, UAE",48441.463594650195,17576.959222721034,Unemployed,✅ Valid,✅ Approved,high,0.7663402493761928,56,Male,UK,2024-11-13 14:59:40.021834
7,application_0007.pdf,20919.759244787892,8,"Building 176, Street 29, Area 36, Ras Al Khaimah, UAE",33214.22432190656,19700.3446941893,Self-employed,✅ Valid,✅ Approved,high,0.9305045800771216,67,Male,Egypt,2024-11-02 14:59:40.021847
8,application_0008.pdf,27742.236995134645,3,"Building 55, Street 41, Area 46, Umm Al Quwain, UAE",85100.09444371228,1280.7872920590955,Unemployed,✅ Valid,✅ Approved,high,0.7746627507693984,43,Female,Pakistan,2024-08-12 14:59:40.021875
9,application_0009.pdf,51834.25913212226,4,"Building 93, Street 52, Area 38, Ajman, UAE",161252.36765499404,11255.622393490603,Employed,✅ Valid,✅ Approved,medium,0.5361102909666665,26,Female,India,2025-03-09 14:59:40.021890
10,application_0010.pdf,65635.47027518509,4,"Building 99, Street 9, Area 39, Ajman, UAE",157483.20794726344,38057.5888930567,Employed,✅ Valid,❌ Rejected,high,0.35114810219428194,47,Female,UK,2025-03-29 14:59:40.021904
11,application_0011.pdf,50974.40081655905,3,"Building 88, Street 83, Area 50, Sharjah, UAE",247341.97305060408,73534.90587570363,Employed,✅ Valid,❌ Rejected,medium,0.42220920613099105,45,Male,Syria,2025-01-12 14:59:40.021917
12,application_0012.pdf,88268.672131323,3,"Building 77, Street 81, Area 7, Umm Al Quwain, UAE",337410.96355369326,18838.08260908188,Business Owner,✅ Valid,❌ Rejected,low,0.3661549035753153,50,Male,Pakistan,2024-08-28 14:59:40.021930
13,application_0013.pdf,126265.90785014266,3,"Building 93, Street 15, Area 2, Ajman, UAE",131358.1962719466,4513.834142211715,Business Owner,✅ Valid,✅ Approved,low,0.537800959920404,69,Female,Egypt,2025-04-16 14:59:40.021943
14,application_0014.pdf,31968.612358691236,4,"Building 197, Street 69, Area 49, Abu Dhabi, UAE",119513.58891179545,39950.24433567045,Employed,✅ Valid,✅ Approved,high,0.6027673787418253,60,Female,UK,2024-07-20 14:59:40.021956
15,application_0015.pdf,28843.517176117595,3,"Building 177, Street 94, Area 49, Umm Al Quwain, UAE",77845.66191283065,334.39397528355283,Employed,✅ Valid,✅ Approved,medium,0.601757584103559,37,Female,Jordan,2025-03-26 14:59:40.021969
16,application_0016.pdf,22801.557916052912,2,"Building 59, Street 71, Area 38, Abu Dhabi, UAE",57901.39213373971,29612.18735084058,Unemployed,✅ Valid,✅ Approved,high,0.7905420013006128,18,Male,UAE,2024-12-08 14:59:40.021982
17,application_0017.pdf,33436.182895684615,3,"Building 139, Street 28, Area 32, Ras Al Khaimah, UAE",41359.21559990925,15088.536432507519,Employed,✅ Valid,✅ Approved,medium,0.5307496997766643,54,Female,Egypt,2025-02-18 14:59:40.021995
18,application_0018.pdf,26149.177195836834,5,"Building 120, Street 53, Area 28, Sharjah, UAE",60746.57825374967,25655.421785331895,Student,✅ Valid,✅ Approved,high,0.8339302605394963,21,Male,UAE,2025-04-01 14:59:40.022008
19,application_0019.pdf,40309.99522495951,3,"Building 47, Street 55, Area 9, Ajman, UAE",158469.88282955223,20942.824334145953,Employed,✅ Valid,✅ Approved,high,0.5355966892468372,33,Male,Syria,2025-04-06 14:59:40.022020
20,application_0020.pdf,26907.876241487855,10,"Building 193, Street 12, Area 1, Fujairah, UAE",89637.22414000126,44380.19868571096,Student,✅ Valid,✅ Approved,high,0.8864650394030216,28,Female,Syria,2025-04-26 14:59:40.022033
21,application_0021.pdf,25208.2576215471,1,"Building 74, Street 59, Area 17, Ajman, UAE",70944.63355114701,5585.684202209017,Self-employed,✅ Valid,❌ Rejected,medium,0.47177008984141744,64,Female,Pakistan,2025-04-27 14:59:40.022046
22,application_0022.pdf,42056.90063878994,3,"Building 13, Street 8, Area 21, Ras Al Khaimah, UAE",160343.0196952537,91595.63023110069,Self-employed,❌ Invalid,❌ Rejected,high,0.0,50,Male,UAE,2025-04-15 14:59:40.022058
23,application_0023.pdf,117839.69635258999,1,"Building 104, Street 31, Area 44, Abu Dhabi, UAE",471775.10102520074,175654.70475780015,Employed,✅ Valid,❌ Rejected,medium,0.36193815103321036,54,Male,USA,2024-10-24 14:59:40.022071
24,application_0024.pdf,50323.203680923136,3,"Building 172, Street 27, Area 17, Sharjah, UAE",169156.19570815988,102780.54160113272,Unemployed,✅ Valid,✅ Approved,high,0.614550078883765,33,Female,Lebanon,2024-10-04 14:59:40.022083
25,application_0025.pdf,29641.739608900483,6,"Building 160, Street 59, Area 1, Abu Dhabi, UAE",135303.97865305832,0.0,Contract,✅ Valid,✅ Approved,high,0.8765200414750403,24,Male,UK,2024-11-29 14:59:40.022096
26,application_0026.pdf,144657.07513125672,4,"Building 113, Street 21, Area 19, Sharjah, UAE",446563.1996838549,107263.82407455055,Business Owner,❌ Invalid,❌ Rejected,medium,0.0,63,Female,USA,2024-06-26 14:59:40.022108
27,application_0027.pdf,61376.41164803253,4,"Building 27, Street 85, Area 20, Umm Al Quwain, UAE",62139.38706271998,15911.760825789279,Part-time,✅ Valid,✅ Approved,medium,0.5242416683980999,26,Female,India,2025-03-08 14:59:40.022121
28,application_0028.pdf,33571.125715117465,5,"Building 176, Street 27, Area 22, Ras Al Khaimah, UAE",150327.9439149933,29516.283913407548,Unemployed,❌ Invalid,❌ Rejected,high,0.0,34,Female,Philippines,2025-04-30 14:59:40.022133
29,application_0029.pdf,21915.063971068124,4,"Building 86, Street 1, Area 3, Sharjah, UAE",54749.15420511524,26448.244601886552,Retired,✅ Valid,✅ Approved,high,0.6051680421126391,58,Female,Pakistan,2024-10-20 14:59:40.022146
30,application_0030.pdf,64931.266644895266,2,"Building 10, Street 70, Area 10, Ras Al Khaimah, UAE",160395.79888603414,64583.927661090405,Student,✅ Valid,❌ Rejected,medium,0.4308258349930134,55,Male,Lebanon,2025-05-06 14:59:40.022158
31,application_0031.pdf,122912.32648044122,2,"Building 91, Street 14, Area 43, Dubai, UAE",487795.38876134605,77846.96425660203,Contract,✅ Valid,❌ Rejected,medium,0.4476206032930963,44,Male,Egypt,2025-02-25 14:59:40.022172
32,application_0032.pdf,110170.13560206695,1,"Building 172, Street 53, Area 22, Ras Al Khaimah, UAE",287311.798404955,2096.5171734118117,Business Owner,✅ Valid,❌ Rejected,low,0.4701278188139913,69,Male,Philippines,2024-11-12 14:59:40.022185
33,application_0033.pdf,128883.60831193728,4,"Building 90, Street 59, Area 13, Dubai, UAE",420296.57038321084,126518.80477288917,Employed,✅ Valid,❌ Rejected,medium,0.46931297883277084,68,Male,Egypt,2024-12-09 14:59:40.022198
34,application_0034.pdf,27654.12866624853,2,"Building 165, Street 45, Area 18, Fujairah, UAE",43821.54138763977,9459.797132076077,Unemployed,✅ Valid,✅ Approved,high,0.7970400611022228,61,Female,UAE,2025-02-24 14:59:40.022210
35,application_0035.pdf,54859.282252098456,7,"Building 112, Street 77, Area 7, Abu Dhabi, UAE",120565.4915996238,32280.549256885624,Employed,✅ Valid,✅ Approved,high,0.7511423059669478,68,Female,Lebanon,2024-11-10 14:59:40.022223
36,application_0036.pdf,132121.52570443615,1,"Building 1, Street 56, Area 46, Abu Dhabi, UAE",645570.3361434406,216211.55230563955,Self-employed,✅ Valid,✅ Approved,medium,0.5448874485971313,69,Male,Jordan,2024-12-08 14:59:40.022236
37,application_0037.pdf,63863.25586084147,4,"Building 130, Street 39, Area 47, Abu Dhabi, UAE",186835.40901615503,0.0,Employed,✅ Valid,❌ Rejected,low,0.40544124776667934,44,Female,Lebanon,2025-02-17 14:59:40.022249
38,application_0038.pdf,29734.861245507833,8,"Building 158, Street 23, Area 48, Ras Al Khaimah, UAE",90995.52067190773,72127.45591488603,Unemployed,✅ Valid,✅ Approved,high,0.9429888149989836,43,Male,Philippines,2024-08-03 14:59:40.022261
39,application_0039.pdf,57114.58552828316,3,"Building 55, Street 87, Area 29, Ajman, UAE",188566.50805938907,55260.85697744084,Self-employed,✅ Valid,✅ Approved,medium,0.5663853836304998,68,Male,India,2024-07-13 14:59:40.022274
40,application_0040.pdf,18313.21962380468,7,"Building 80, Street 87, Area 16, Fujairah, UAE",75868.42406472222,34170.12205784723,Employed,✅ Valid,✅ Approved,high,0.7983936022781852,30,Male,UAE,2024-07-18 14:59:40.022286
41,application_0041.pdf,143730.95841129142,1,"Building 50, Street 74, Area 41, Ajman, UAE",300485.7447890215,174449.66209819366,Contract,✅ Valid,❌ Rejected,medium,0.4156058011111784,42,Female,Lebanon,2025-05-24 14:59:40.022299
42,application_0042.pdf,77944.46811623158,4,"Building 57, Street 55, Area 50, Abu Dhabi, UAE",279575.66838519427,206352.31964634501,Employed,✅ Valid,✅ Approved,medium,0.541747001445544,62,Female,UAE,2025-03-25 14:59:40.022311
43,application_0043.pdf,20094.636748693116,7,"Building 153, Street 72, Area 34, Ras Al Khaimah, UAE",48904.363078102004,15645.986231325502,Self-employed,✅ Valid,✅ Approved,high,0.9392020296341019,66,Female,USA,2024-10-20 14:59:40.022323
